Summary,Issue Type,Description,Story Points,Labels,Priority,Epic Link
"[DB] Crear tabla users",Task,"Crear tabla users con campos: id PK, username UNIQUE, email UNIQUE, password_hash, display_name, avatar_url, role ENUM, community_id FK, created_at, updated_at. Índices: idx_users_email, idx_users_community_id",3,"db,backend","High","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Crear tabla communities",Task,"Crear tabla communities con campos: id PK, code UNIQUE VARCHAR(10), name VARCHAR(100), created_at. Índice: idx_communities_code",2,"db,backend","High","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Crear tabla categories",Task,"Crear tabla categories con campos: id PK, slug UNIQUE VARCHAR(50), name VARCHAR(100). Índice: idx_categories_slug",2,"db,backend","Medium","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Crear tabla themes",Task,"Crear tabla themes con campos: id PK, title VARCHAR(150), description TEXT, start_date DATE, end_date DATE, is_active BOOLEAN, created_at. Índices: idx_themes_is_active, idx_themes_dates",3,"db,backend","High","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Crear tabla photos",Task,"Crear tabla photos con campos: id PK, user_id FK, theme_id FK, community_id FK, category_id FK nullable, title VARCHAR(150), description TEXT, image_url VARCHAR(1000), thumb_url VARCHAR(1000), is_moderated BOOLEAN, is_deleted BOOLEAN, created_at. Constraint UNIQUE(user_id, theme_id). Índices: idx_photos_user_id, idx_photos_theme_id, idx_photos_community_id, idx_photos_created_at",5,"db,backend","High","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Crear tabla votes",Task,"Crear tabla votes con campos: id PK, photo_id FK, user_id FK, created_at. Constraint UNIQUE(photo_id, user_id). Índices: idx_votes_photo_id, idx_votes_user_id, idx_votes_photo_user",3,"db,backend","High","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Crear tabla moderations",Task,"Crear tabla moderations con campos: id PK, photo_id FK, moderator_id FK, action ENUM('removed','flagged','approved'), reason TEXT, created_at. Índices: idx_moderations_photo_id, idx_moderations_moderator_id",2,"db,backend","Low","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Crear tabla notifications",Task,"Crear tabla notifications con campos: id PK, user_id FK, type VARCHAR(50), payload JSON, is_read BOOLEAN, created_at. Índices: idx_notifications_user_id, idx_notifications_is_read",2,"db,backend","Low","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Crear tabla winners",Task,"Crear tabla winners con campos: id PK, theme_id FK, community_id FK, photo_id FK, position INT, votes_count INT, awarded_at TIMESTAMP. Índices: idx_winners_theme_id, idx_winners_community_id",2,"db,backend","Low","S4 - Modelado y API (DER + OpenAPI)"
"[DB] Configurar foreign keys y cascadas",Task,"Definir todas las relaciones FK con ON DELETE CASCADE/ RESTRICT según corresponda. Validar integridad referencial",2,"db,backend","High","S4 - Modelado y API (DER + OpenAPI)"
